DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB05016,775304-57-9,approved; investigational,OOUGLTULBSNHNF-UHFFFAOYSA-N,OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F,C15H9FN2O3,,D09323,11219835,175426931,94805,CHEMBL256997,,9394889,
DB05017,,investigational,,,,,,,347909893,,,,,
DB05018,108147-54-2,approved; investigational,LXBIFEVIBLOUGU-DPYQTVNSSA-N,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,C6H13NO4,,,176077,347827704,135923,CHEMBL110458,DGJ,153388,50163440
DB05020,,investigational,,,,,,,347909895,,,,,
DB05021,,investigational,,,,,,,347909896,,,,,
DB05022,69408-81-7,investigational,UPALIKSFLSVKIS-UHFFFAOYSA-N,CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,C16H17N3O2,,,50515,175426932,94661,CHEMBL428676,,45804,50033894
DB05023,,investigational,,,,,,,347909897,,,,,
DB05024,,investigational,,,,,,,347909898,,,,,
DB05025,289893-25-0,investigational,SGEIEGAXKLMUIZ-CYBMUJFWSA-N,O[C@@H](CON=C(Cl)C1=C[N+]([O-])=CC=C1)CN1CCCCC1,C14H20ClN3O3,,,208924,175426933,,,,181020,
DB05027,,investigational,,,,,,,347909899,,,,,
DB05029,1391-36-2,investigational,,,,,,,347909900,,,,,
DB05032,,investigational,,,,,,,347909902,,,,,
DB05033,,investigational,,,,,,,347909903,,,,,
