DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB00006,128270-60-0,approved; investigational,OIRCOABEOLEUMC-GEJPAHFPSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,C98H138N24O33,,D03136,16129704,46507415,59173,CHEMBL2103749,,10482069,
DB00014,65807-02-5,approved,BLCLNMBMMGCOAS-URPVMXJPSA-N,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,C59H84N18O14,,D00573,5311128,46507336,5523,CHEMBL1201247,,4470656,
DB00027,1405-97-6,approved,NDAYQJDHGXTBJL-MWWSRJDJSA-N,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,C96H135N19O16,,D04369,45267103,46507412,,CHEMBL557217,,24623445,
DB00035,16679-58-6,approved,NFLWUMRGJYTJIN-NXBWRCJVSA-N,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,C46H64N14O12S2,C06944,D00291,,,4450,CHEMBL376685,,10481973,50205291
DB00050,120287-85-6,approved; investigational,SBNPWPIBESPSIF-MHWMIDJBSA-N,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C70H92ClN17O14,,D01685,25074887,46505494,59224,CHEMBL1200490,,10482082,50369965
DB00067,11000-17-2,approved,,,,C00840,D00101,,46505933,,CHEMBL373742,,,
DB00080,103060-53-3,approved; investigational,DOAKLVKFURWEDJ-RWDRXURGSA-N,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,C72H101N17O26,C12013,D01080,16134395,46504551,600103,CHEMBL387675,,10482098,
DB00091,59865-13-3,approved; investigational; vet_approved,PMATZTZNYRCHOR-CGLBZJNRSA-N,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,C05086,D00184,5284373,46508198,4031,CHEMBL160,,4447449,50022815
DB00093,56-59-7,experimental,SFKQVVDKFKYTNA-DZCXQCEKSA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,C46H65N13O11S2,,,14257662,46507522,60564,CHEMBL3185126,,16736539,
DB00104,83150-76-9,approved; investigational,DEQANNDTNATYII-OULOTJBUSA-N,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,C49H66N10O10S2,C07306,D00442,448601,46504600,,CHEMBL1680,,395352,50272772
DB00106,183552-38-7,approved; investigational; withdrawn,AIWRTTMUVOZGPW-HSPKUQOVSA-N,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C72H95ClN14O14,,D02738,16131215,46508237,337298,CHEMBL1252,,10482301,50102442
DB00114,54-47-7,approved; investigational; nutraceutical,NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,C8H10NO6P,C00018,D00006,1051,46506428,18405,CHEMBL82202,PLP,1022,50118216
DB00115,68-19-9,approved; nutraceutical,RMRCNWBMXRMIRW-WZHZPDAFSA-L,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO,C63H88CoN14O14P,C02823,D00166,70678590,46509031,17439,CHEMBL2110563,CNC,21864832,
DB00116,135-16-0,nutraceutical,MSTNYGQPCMXVAQ-KIYNQFGBSA-N,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,C19H23N7O6,C00101,,91443,46504756,20506,CHEMBL2021342,,82572,
DB00117,71-00-1,approved; nutraceutical,HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](CC1=CN=CN1)C(O)=O,C6H9N3O2,C00135,D00032,6274,46507001,15971,CHEMBL17962,HIS,6038,7953
DB00118,29908-03-0,approved; investigational; nutraceutical,MEFKEPWMEQBLKI-AIRLBKTGSA-N,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O,C15H22N6O5S,C00019,,34755,46505280,67040,CHEMBL1088977,SAM,31982,28422
DB00119,127-17-3,approved; investigational; nutraceutical,LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(O)=O,C3H4O3,C00022,,1060,46505692,32816,CHEMBL1162144,PYR,1031,19473
DB00120,63-91-2,approved; investigational; nutraceutical,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](CC1=CC=CC=C1)C(O)=O,C9H11NO2,C00079,D00021,6140,46505708,17295,CHEMBL301523,PHE,5910,18073
DB00121,58-85-5,approved; investigational; nutraceutical,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,C10H16N2O3S,C00120,D00029,171548,46508694,15956,CHEMBL857,BTN,149962,12
DB00122,62-49-7,approved; nutraceutical,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO,C5H14NO,C00114,D07690,305,46508132,15354,CHEMBL920,CHT,299,50026220
DB00123,56-87-1,approved; nutraceutical,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(O)=O,C6H14N2O2,C00047,D02304,5962,46504770,18019,CHEMBL8085,LYS,5747,217367
DB00125,74-79-3,approved; nutraceutical,ODKSFYDXXFIFQN-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=N)C(O)=O,C6H14N4O2,C00062,D02982,6322,46507180,16467,CHEMBL1485,ARG,6082,21959
DB00126,50-81-7,approved; nutraceutical,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,C00072,D00018,54670067,46505070,29073,CHEMBL196,ASC,10189562,50090256
DB00127,71-44-3,experimental; nutraceutical,PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN,C10H26N4,C00750,,1103,46507215,15746,CHEMBL23194,SPM,1072,79403
DB00128,56-84-8,approved; nutraceutical,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(O)=O)C(O)=O,C4H7NO4,C00049,D00013,5960,46507997,17053,CHEMBL274323,IAS,5745,18125
DB00129,70-26-8,approved; nutraceutical,AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCC[C@H](N)C(O)=O,C5H12N2O2,C00077,,6262,46505239,15729,CHEMBL446143,ORN,6026,
DB00130,56-85-9,approved; investigational; nutraceutical,ZDXPYRJPNDTMRX-VKHMYHEASA-N,N[C@@H](CCC(N)=O)C(O)=O,C5H10N2O3,C00064,D00015,5961,46505866,58359,CHEMBL930,GLN,5746,18121
DB00131,61-19-8,approved; investigational; nutraceutical,UDMBCSSLTHHNCD-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,C10H14N5O7P,C00020,D02769,6083,46507628,16027,CHEMBL752,AMP,5858,18137
DB00132,463-40-1,approved; nutraceutical,DTOSIQBPPRVQHS-PDBXOOCHSA-N,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,C18H30O2,C06427,,5280934,46507620,27432,CHEMBL8739,LNL,4444437,50240347
DB00133,56-45-1,approved; nutraceutical,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(O)=O,C3H7NO3,C00065,D00016,5951,46506450,33384,CHEMBL11298,SER,5736,50357212
DB00134,63-68-3,approved; nutraceutical,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(O)=O,C5H11NO2S,C00073,D00019,6137,46505750,16643,CHEMBL42336,MET,5907,50142500
DB00135,60-18-4,approved; investigational; nutraceutical,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,C9H11NO3,C00082,D00022,6057,46507885,58315,CHEMBL925,TYR,5833,18129
DB00136,32222-06-3,approved; nutraceutical,GMRQFYUYWCNGIN-NKMMMXOESA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C27H44O3,C01673,D00129,5280453,46508162,17823,CHEMBL846,VDX,4444108,50200182
DB00137,127-40-2,approved; investigational; nutraceutical,KBPHJBAIARWVSC-RGZFRNHPSA-N,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O2,C08601,,5281243,46508835,28838,CHEMBL173929,LUT,4444655,
DB00138,56-89-3,approved; nutraceutical,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,C6H12N2O4S2,C00491,D03636,67678,46506670,16283,CHEMBL590540,,60997,
DB00139,110-15-6,approved; nutraceutical,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(=O)CCC(O)=O,C4H6O4,C00042,,1110,46505859,15741,CHEMBL576,SIN,1078,26121
DB00140,83-88-5,approved; investigational; nutraceutical; vet_approved,AUNGANRZJHBGPY-SCRDCRAPSA-N,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,C17H20N4O6,C00255,D00050,493570,46507342,17015,CHEMBL1534,RBF,431981,50362895
DB00141,7512-17-6,approved; investigational; nutraceutical,MBLBDJOUHNCFQT-LXGUWJNJSA-N,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,C8H15NO6,C00140,,1738118,46509139,17411,CHEMBL447878,NAG,1376695,50223349
DB00142,56-86-0,approved; nutraceutical,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(O)=O)C(O)=O,C5H9NO4,C00025,D00007,33032,46505816,16015,CHEMBL575060,GGL,30572,17657
DB00143,70-18-8,approved; investigational; nutraceutical,RWSXRVCMGQZWBV-WDSKDSINSA-N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,C10H17N3O6S,C02471,D00014,124886,46504598,16856,CHEMBL1543,GSH,111188,50422268
DB00144,1446756-47-3,approved; investigational; nutraceutical,UNJJBGNPUUVVFQ-ZJUUUORDSA-N,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,C13H24NO10P,,,6323481,46505650,18303,,PSF,13628254,
DB00145,56-40-6,approved; nutraceutical; vet_approved,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,C2H5NO2,C00037,D00011,750,46508219,15428,CHEMBL773,GLY,730,18133
DB00146,19356-17-3,approved; nutraceutical,JWUBBDSIWDLEOM-DTOXIADCSA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O2,C01561,,5283731,46505690,17933,CHEMBL1040,VDY,4446820,
DB00147,66-72-8,experimental; nutraceutical,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(CO)C(C=O)=C1O,C8H9NO3,C00250,,1050,46506282,17310,CHEMBL102970,PXL,1021,50366979
DB00148,57-00-1,approved; investigational; nutraceutical,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(O)=O)C(N)=N,C4H9N3O2,C00300,,586,46504868,16919,CHEMBL283800,CRN,566,50357229
DB00149,61-90-5,approved; nutraceutical,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(O)=O,C6H13NO2,C00123,D00030,6106,46507163,57427,CHEMBL291962,LEU,5880,50219348
DB00150,73-22-3,approved; nutraceutical; withdrawn,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,C11H12N2O2,C00078,D00020,6305,46508329,16828,CHEMBL54976,TRP,6066,21974
DB00151,52-90-4,approved; nutraceutical,XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(O)=O,C3H7NO2S,C00097,D00026,5862,46506553,17561,CHEMBL863,CYS,5653,50109609
DB00152,70-16-6,approved; investigational; nutraceutical; vet_approved,JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,C00378,D08580,1130,46507321,18385,CHEMBL1547,VIB,1098,50373877
DB00153,50-14-6,approved; nutraceutical,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C28H44O,C05441,D00187,5280793,46505053,28934,CHEMBL1536,D2V,4444351,
DB00154,1783-84-2,investigational; nutraceutical,HOBAELRKJCKHQD-QNEBEIHSSA-N,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,C20H34O2,C03242,,5280581,46508866,53486,CHEMBL465183,LAX,4444199,50269534
DB00155,372-75-8,approved; investigational; nutraceutical,RHGKLRLOHDJJDR-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=O)C(O)=O,C6H13N3O3,C00327,D07706,9750,46506583,16349,CHEMBL444814,CIR,9367,92903
DB00156,72-19-5,approved; nutraceutical,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(O)=O,C4H9NO3,C00188,D00041,6288,46506798,16857,CHEMBL291747,THR,6051,
DB00157,58-68-4,approved; nutraceutical,BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,C21H29N7O14P2,C00004,,439153,46504879,16908,,NAI,388299,
DB00158,59-30-3,approved; nutraceutical; vet_approved,OVBPIULPVIDEAO-LBPRGKRZSA-N,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,C00504,D00070,6037,46508092,27470,CHEMBL1622,FOL,5815,50367343
DB00159,10417-94-4,approved; nutraceutical,JAZBEHYOTPTENJ-JLNKQSITSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H30O2,C06428,D08061,446284,46506267,28364,CHEMBL460026,EPA,393682,50242349
DB00160,56-41-7,approved; nutraceutical,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(O)=O,C3H7NO2,C00041,D00012,5950,46504866,16977,CHEMBL279597,ALA,5735,50000099
DB00161,72-18-4,approved; nutraceutical,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(O)=O,C5H11NO2,C00183,D00039,6287,46504886,16414,CHEMBL43068,VAL,6050,
DB00162,68-26-8,approved; nutraceutical; vet_approved,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C20H30O,C17276,D00069,445354,46508191,17336,CHEMBL986,RTL,393012,50092056
DB00163,59-02-9,approved; nutraceutical; vet_approved,GVJHHUAWPYXKBD-IEOSBIPESA-N,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,C29H50O2,C02477,,14985,46506524,18145,CHEMBL47,VIV,14265,
DB00165,65-23-6,approved; investigational; nutraceutical; vet_approved,LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,C00314,,1054,46508560,16709,CHEMBL1364,UEG,1025,50103505
DB00166,1200-22-2,approved; investigational; nutraceutical,AGBQKNBQESQNJD-SSDOTTSWSA-N,OC(=O)CCCC[C@@H]1CCSS1,C8H14O2S2,C16241,D00086,6112,46504826,30314,CHEMBL134342,LPA,5886,50106731
DB00167,73-32-5,approved; investigational; nutraceutical,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(O)=O,C6H13NO2,C00407,D00065,6306,46506864,58045,CHEMBL1233584,ILE,6067,18140
DB00168,22839-47-0,investigational; nutraceutical,IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,C14H18N2O5,C11045,D02381,134601,46507278,2877,CHEMBL171679,PME,118630,
DB00169,67-97-0,approved; nutraceutical,QYSXJUFSXHHAJI-YRZJJWOYSA-N,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C27H44O,C05443,D00188,5280795,46506365,28940,CHEMBL1042,VD3,4444353,50030475
DB00170,58-27-5,approved; nutraceutical,MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)C2=CC=CC=C2C1=O,C11H8O2,C05377,D02335,4055,46505447,28869,CHEMBL590,VK3,3915,24778
DB00171,56-65-5,investigational; nutraceutical,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,C10H16N5O13P3,C00002,D08646,5957,46507614,15422,CHEMBL14249,ATP,5742,50366480
DB00172,147-85-3,approved; nutraceutical,ONIBWKKTOPOVIA-BYPYZUCNSA-N,OC(=O)[C@@H]1CCCN1,C5H9NO2,C00148,D00035,145742,46506858,17203,CHEMBL54922,PRO,128566,50000100
DB00173,73-24-5,approved; nutraceutical,GFFGJBXGBJISGV-UHFFFAOYSA-N,NC1=C2NC=NC2=NC=N1,C5H5N5,C00147,D00034,190,46507319,16708,CHEMBL226345,ADE,185,181146
DB00174,70-47-3,approved; investigational; nutraceutical,DCXYFEDJOCDNAF-REOHCLBHSA-N,N[C@@H](CC(N)=O)C(O)=O,C4H8N2O3,C00152,,6267,46507804,58048,CHEMBL58832,41Q,6031,
DB00175,81093-37-0,approved,TUZYXOIXSAXUGO-PZAWKZKUSA-N,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C23H36O7,C01844,D08410,54687,46504851,63618,CHEMBL1144,,49398,20688
DB00176,54739-18-3,approved; investigational,CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,C15H21F3N2O2,C07571,,3404,46507588,5138,CHEMBL814,FVX,4481878,50028091
DB00177,137862-53-4,approved; investigational,ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,C24H29N5O3,,D00400,60846,46509000,9927,CHEMBL1069,,54833,50049186
DB00178,87333-19-5,approved,HDACQVRGBOVJII-JBDAPHQKSA-N,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C23H32N2O5,,D00421,5362129,46506390,8774,CHEMBL1168,,4514937,50084681
DB00179,27686-84-6,approved; investigational,HCZKYJDFEPMADG-TXEJJXNPSA-N,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,C18H22O4,C10719,D04862,71398,46508042,73468,CHEMBL313972,,64490,22372
DB00180,3/3/85,approved; investigational,XSFJVAJPIHIPKU-XWCQMRHXSA-N,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,C07005,,82153,46507894,5106,CHEMBL1512,,74144,
DB00181,1134-47-0,approved,KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,,D00241,2284,46508181,2972,CHEMBL701,,2197,24182
DB00182,300-62-9,approved; illicit; investigational,KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)CC1=CC=CC=C1,C9H13N,C07514,D07445,3007,46506414,132233,CHEMBL405,,13852819,50005246
DB00183,5534-95-2,approved,NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,C37H49N7O9S,,D01631,9853654,46507747,31974,CHEMBL1328,,8029364,50024321
DB00184,54-11-5,approved,SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCC[C@H]1C1=CN=CC=C1,C10H14N2,C00745,D03365,89594,46506924,17688,CHEMBL3,NCT,80863,82070
DB00185,107233-08-9,approved,WUTYZMFRCNBCHQ-LHIURRSHSA-N,CC1O[C@@]2(CS1)CN1CCC2CC1,C10H17NOS,,D00661,25137844,46507202,3568,,,21864737,
DB00186,846-49-1,approved,DIWRORZWFLOCLC-UHFFFAOYSA-N,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2,,D00365,3958,46508468,6539,CHEMBL580,,3821,50292627
DB00187,81147-92-4,approved,AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,C16H25NO4,C06980,D07916,59768,46506146,88206,CHEMBL768,,53916,50404796
DB00188,179324-69-7,approved; investigational,GXJABQQUPOEUTA-RDJZCZTQSA-N,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,C19H25BN4O4,,D03150,387447,46508736,52717,CHEMBL325041,BO2,343402,50069989
DB00189,113-18-8,approved; illicit; withdrawn,ZEHYJZXQEQOSON-AATRIKPKSA-N,[H]C(Cl)=CC(O)(CC)C#C,C7H9ClO,C07833,D00704,5281077,46505006,4882,CHEMBL591,,4444534,
DB00190,28860-95-9,approved,TZFNLOMSOLWIDK-JTQLQIEISA-N,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C10H14N2O4,,D00558,34359,46508775,39585,CHEMBL1201236,142,31640,50418773
DB00191,122-09-8,approved; illicit,DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(N)CC1=CC=CC=C1,C10H15N,C07438,D05458,4771,46508515,8080,CHEMBL1574,,4607,50246598
DB00192,74517-78-5,approved,UCEWGESNIULAGX-UHFFFAOYSA-N,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,C20H24N2O,,,52195,46506714,135314,CHEMBL1201242,,47194,
DB00193,27203-92-5,approved; investigational,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,C16H25NO2,C07153,D08623,33741,46506256,75725,CHEMBL1066,,31105,50176259
